specie,year_1988,year_1998,year_2007,year_2014,year_2015,year_2016,colors,colorSeries,long,r,g,b
骨顶鸡Fulica atra,267,204,112,1832,1561,1561,灰黑色,#825f56,39,0,0,0
普通秧鸡Rallus aquaticus,,,,1,0,0,栗色/棕色,#f67d2b,26,246,125,43
董鸡Gallicrex cinerea,1,1,5,,1,1,红色/褐色,#888996,42,246,76,76
白眉田鸡Porzana cinerea,,,,,0,0,灰褐色,#494949,20,73,73,73
红胸田鸡Porzana fusca,11,9,8,36,40,40,栗红色,#583a36,21,246,76,76
白胸苦恶鸟Amauroracnis phoenicurus,,,,28,26,26,黄褐色,#ffa926,33,208,110,30
红脚苦恶鸟Amaurornis akool,,,,,0,0,褐色,#ffa926,266,208,110,30
黑水鸡Gallinula chloropus,,,,187,89,89,黑色,#000000,30,0,0,0
紫水鸡Porphyrio porphyrio,,,,43,6,6,蓝绿色,#87ffb9,47,135,255,185
冠鱼狗Megaceryle lugubris,,,,,0,0,黑色,#000000,25,0,0,0
普通翠鸟Alcedo atthis,,,,32,11,11,蓝色,#60bbff,16,96,187,255
白胸翡翠Halcyon smyrnensis,,,,6,4,4,栗色/棕色,#ee8a46,28,238,138,70
黄斑苇鸠,1,1,1,,,,,#b03c3f,,,,
栗背苇鸠,1,1,,,,,,#857b73,,,,
剑鸠,1,0,,,,,,#b36938,,,,
乌足滨鹬,7,3,1,,,,,#9c8786,,,,
